Census Tract,Tract Area (km^2),Intersection Density,Bus-Stop Density,Parking-Lot/Space Density,Length of Interstate Highway,Length of State Highway,Length of Collector Roads,Length of Local Roads,Length of Bicycle Lanes,Length of Bike Trails,Length of Pedestrian Crosswalks,Length of Sidewalks
005500,13.953503825449767,23.936640157063497,0.7883324602625702,0.5659222411941902,0.0,2.8945272077685527,21.528219638927848,70.78438005248591,0.9885514414099419,0.2705018998841123,14.014696857771067,104.83912930077611
005600,13.408095465845811,17.89963388993966,0.8949816944969831,2.3531610300619192,0.0,0.0,18.098336278458056,68.98334673244328,3.7139619794770184,0.684623358732789,8.813944229370065,69.02139703241627
005700,8.64128935221235,32.74974236657705,1.0415112413399064,0.35926053930956525,0.0,0.0,11.571850873803287,58.674634434978074,0.0,0.0,9.830759436094445,69.3220712746895
005800,10.974159173131294,26.60796106501913,1.0934778519870876,1.9773332761298203,0.0,0.13467999932143745,17.5590256076815,65.32669525014884,0.0,0.0,11.929505149591504,87.29868841323191
006000,4.492261184505413,29.606470892373768,1.1130252215178107,0.22371704037283305,0.0,0.0,5.179836029774798,30.344786882165717,0.0,0.0,4.182972819515597,36.026895908646225
005400,14.595391188927666,25.967101196130763,0.7536625676977267,2.8199732315244623,0.0,5.98100012126073,15.350283524168846,92.6427280879792,0.0,0.0,12.898456495281255,94.73667344392082
006100,5.644103546373214,26.399232185551305,2.1261126592390314,0.2649817297808647,0.0,0.0,7.8026690349915055,32.20296999567582,2.665284799924055,0.0,5.498304834783406,42.91074642562521
006200,5.097322267121315,29.427215337654463,1.961814355843631,0.0,0.0,0.0,3.5955310243280887,37.6241561568285,0.0,0.0,4.716311273456657,42.59370522773627
006600,10.239622016837396,18.457712568805782,2.2461766618123438,0.3924991714525261,0.0,0.0,14.273755727294509,61.11594733565579,0.0,0.0,6.661014353471637,65.52140777360384
006700,4.379252465217301,17.582909551705697,2.9685431710671955,0.3051304808499788,6.752908385439962,0.0,9.036023585092702,18.147703133156398,0.0,0.0,2.645150911366403,25.957608762574544
006800,6.48220909461488,20.980501865171632,0.9256103764046308,0.36081556437408757,4.776406766980688,0.0,4.463742839693083,39.27589676608063,0.0,0.0,4.820502817654151,49.73570057876549
006900,5.45829519167302,29.496389320536537,0.7328295483363114,1.000698425988649,0.0,0.0,7.714339148914545,33.8858142065619,0.4428933050668331,0.44181539673510156,5.475983152342102,45.10357502809959
007200,9.171509077263003,19.953095881862396,1.526466351617888,1.39106418586014,0.0,0.0,8.273499467761921,52.116612955506014,3.691903145526424,1.3244949390731149,5.288417398739848,52.10101126059124
007300,7.580615057460511,21.76604388289235,1.5829850096648983,3.0008833219375775,0.0,0.0,5.832612669934196,38.902505447829014,4.965237125370503,0.05647543847400655,4.369967961840092,50.67527667806748
006500,5.442014549884393,28.482099520166248,1.2862883654268629,0.17682578901507964,0.0,0.0,3.4334187572280097,40.36218960075602,0.0,0.0,4.737973328586188,46.0811411931142
007400,15.07265174798142,8.425856453361517,1.5259425073016921,1.3151432942207604,0.0,3.143697029846613,10.854082490806453,32.77876315177536,1.5292565301484635,0.0,4.427254709658418,48.521535720765044
007500,7.491674090825216,23.2257834351192,0.8008890839696275,0.6543505311317888,0.0,0.0,8.716808219414576,42.65081783077914,0.0,0.0,8.32507643059449,63.56962132216472
007600,6.278692856493325,31.535226284437776,2.2297634746572164,4.646142308219697,0.0,0.0,9.419474279324536,37.06676583989855,1.0312743710782752,0.0,4.7721494911773865,67.45134698713623
003700,6.889192596044637,23.95055700645285,0.7257744547409956,0.0,0.0,0.0,4.958332836828036,45.404543828165544,0.0,0.0,6.467586814341513,52.135496696435055
003800,7.229331051210494,35.82627468092397,1.6599046184211879,1.5156766677790545,0.0,11.469837948982589,11.482581655678501,44.65857798961969,0.0,0.0,11.458911353488684,58.206487816155814
003900,7.256556850490017,30.317408728789047,0.9646448231887425,1.4264847075712697,0.0,3.5205796463869943,8.914080072663353,45.939252207730014,0.0,0.0,9.311060068775543,55.24127487808173
007800,7.051169776826601,24.67675655347916,2.4109474793629064,1.6351361549563077,0.0,0.0,8.07324602426327,31.758862266457164,3.679577010290044,0.6160645010291326,6.259666343505205,49.11629698434702
019600,14.134782951581437,21.436480562731212,0.7074746060307331,3.0612187175463554,0.0,0.0,20.552391544375666,79.41787062002727,0.0,0.0,11.570710087465725,100.21460259280114
100500,12.229088843124089,16.599764921500142,0.8994946509187269,1.149858848176558,4.104915136815814,3.7537898469800015,3.248849100536876,65.79860860116396,0.0,0.0,6.385925755273414,72.22755203561066
120201,20.170595223055663,4.164477997356528,0.5453483091776405,4.051186372039927,6.460257306430958,3.732311581474476,18.504698623919065,73.50659932378859,5.621250249027286,5.621250249027286,2.1598970148261185,20.77832378149197
120202,19.39515750837025,7.321415149050371,0.8249481858084925,4.865266650528034,11.946129130388112,11.166523843300762,19.469517460937013,87.24666588292217,5.7205035582025054,5.7205035582025054,3.7401448855342037,29.392969042201162
120203,35.09476652971067,9.488594252880626,0.8833225881060043,7.869662769299242,13.97469522470113,13.73325573619936,50.21321446715191,186.08767646755027,0.0,0.0,7.850366934935312,61.42788498149096
120300,9.613034715574269,8.113982972893112,0.3120762681881966,1.3272760593980255,0.0,3.2439647289429563,8.051771120733298,49.885232584693945,0.0,0.0,2.8038979665441186,47.31410137586005
120501,28.271523357147554,2.4052471153029806,0.035371281107396776,0.3389294775837306,0.0,7.835655793033197,16.57973776453973,98.08439976899798,0.12723895902916452,0.0,2.8846603268027367,53.084414300141056
120502,44.05006898063958,4.7673024097260095,0.31782016064840063,2.342098988230941,0.0,14.756852797725786,34.41949012642507,165.63482371779227,7.2028693799177415,0.0,6.864847446914655,53.49883207326889
130100,59.61435107566313,2.600045076449334,0.08387242182094627,1.9101447757372991,0.0,24.303792326901032,15.945063059062948,214.33478243626865,1.9420521902490344,1.5918082541852383,5.037426447973731,20.297626999744814
130200,30.233024114495677,3.7376346994616543,0.0,1.0742589174834776,0.0,11.846138271878758,20.791103550244177,114.55261640910933,0.18676145924620402,0.04902068476867604,3.2268062127050974,13.45875470414472
140100,61.29505914210236,3.540252722440837,0.08157264337421284,0.7869745639338233,0.0,2.420518270756987,31.62597417114176,157.37270710292125,26.1966528234207,0.768110005748983,3.38646753367156,42.08297166605866
